"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.42534200,-2.31684281,-8.22862149,5.05014291
7.44539600,-2.95349590,-7.26167469,5.25597812
7.46545100,-3.59014899,-7.09413440,6.75905383
7.48551400,-3.87736091,-7.28560902,7.67813197
7.50558200,-3.40346124,-7.45793617,6.30430163
7.52563900,-3.10188873,-7.13721619,5.26555185
7.54569300,-2.84339800,-7.94619643,6.40961266
7.56574800,-3.42260870,-7.76429555,7.28560902
7.58582000,-3.81513166,-7.54409974,7.98927822
7.60587500,-4.14063850,-7.18029798,7.58718153
7.62592900,-4.54273519,-5.17938828,5.67722227
7.64598400,-3.89650837,-6.86436487,7.79780361
7.66604100,-3.75290241,-6.73990637,7.92704897
7.68609600,-3.53749347,-6.48620251,7.95098330
7.70615100,-3.37952692,-6.55321862,8.59242325
7.72620500,-3.27900274,-6.22771178,7.84088539
7.74626100,-3.38910065,-4.79643905,6.63938220
7.76631500,-3.13539678,-5.30384677,8.12331045
7.78636900,-2.99657769,-5.26076499,8.58763638
7.80642300,-3.07316754,-4.65283309,8.50147281
7.82647800,-3.18805230,-4.45657161,9.20514201
7.84653200,-3.21198663,-4.19808089,9.44927214
7.86658900,-3.50877228,-3.02051202,9.07589665
7.88665200,-3.28857647,-2.55618608,8.87006144
7.90670700,-2.48916997,-3.13060992,9.39661662
7.92677100,-2.33120341,-2.69500518,9.48278020
7.94682600,-2.42694072,-1.56051809,8.71688175
7.96688100,-2.34077714,-0.90950441,8.50147281
7.98693500,-2.15408939,-0.24413013,8.15203164
8.00699200,-2.02005717,0.21062207,8.35307998
8.02704900,-2.15887626,-0.07658985,9.79871331
8.05402500,-2.51310429,-0.14360596,10.89011860
8.07408100,-2.31684281,0.42603101,10.06677777
8.09413800,-1.73763211,1.09619216,8.77911100
8.11419200,-1.57487869,1.88602494,8.11373672
8.13424800,-1.64668167,2.14451566,8.69773429
8.15430400,-1.76156644,1.99133597,9.45405901
8.17436100,-1.70891092,1.93389359,9.43012468
8.19441600,-1.62274734,2.44130131,8.64029190
8.21447800,-1.79028763,3.51834601,7.83609853
8.23454200,-2.01527030,4.24116267,7.75472182
8.25460900,-2.35992460,4.65283309,8.34350625
8.27467400,-2.15408939,4.40870296,8.38658804
8.29473100,-1.89559867,4.28903133,8.24298208
8.31478600,-1.85251688,4.56188265,7.81216420
8.33484300,-2.28812162,5.55755064,7.44357557
8.35489800,-2.36949833,6.09367955,7.41485438
8.37495100,-2.24503984,5.91177867,7.57282094
8.39500500,-1.91474613,5.72987779,7.35262513
8.41505800,-1.84294315,5.75859898,7.18508485
8.43511100,-2.13494193,6.19420372,7.00797083
8.45516800,-2.50353056,7.05583948,6.47184191
8.47522200,-2.75723442,7.50101796,6.39046520
8.49527600,-2.63756279,7.42442811,6.45269445
8.51534000,-2.43172758,7.36219886,6.16069567
8.53539500,-2.33599028,7.09892127,6.27558043
8.55545800,-2.54182548,7.13721619,6.32344909
8.57551300,-2.77638189,7.69727943,5.73945152
8.59556700,-2.82903740,8.04672060,5.37086289
8.61562600,-2.90562725,7.90790151,5.68679600
8.63568200,-2.79074248,7.74993495,5.81125450
8.65573900,-3.06359380,7.90311464,5.82561509
8.67579700,-3.22634723,8.19990029,5.73466465
8.69585300,-3.21198663,8.28606387,5.71073033
8.71590700,-3.17847857,8.15681851,5.69636973
8.73596200,-3.13060992,7.92704897,5.80168077
8.75601600,-3.21677350,7.81216420,6.24685924
8.77607000,-3.36037945,7.94140957,6.21813805
8.79612400,-3.32687140,8.16639224,5.67243540
8.81617800,-3.18326544,7.89832778,5.67722227
8.83623200,-3.13539678,7.48665736,6.15590880
8.85628800,-3.29815021,7.34305140,6.37610461
8.87634200,-3.20241290,7.43878871,5.97400792
8.89639600,-3.12582305,7.24731409,5.97400792
8.91645000,-3.04444634,7.13721619,5.88305748
8.93651100,-3.11624932,7.02233142,5.87348375
8.95657500,-3.14975738,6.81170935,6.14633507
8.97663000,-3.42260870,6.40003893,7.26167469
8.99668400,-3.30293707,6.10804015,7.45314930
9.01674300,-2.78116875,5.70115660,6.73511951
9.03679700,-2.92956158,5.57669810,6.68246399
9.05685300,-3.33644513,5.54319004,7.68770570
9.07690800,-3.51355914,5.27991245,8.27170327
9.09696300,-3.42739557,4.99748739,8.14724477
9.11701600,-3.41303497,4.77250472,8.18075283
9.13707000,-3.15454425,3.80555793,8.65943936
9.15713800,-3.12103619,3.48962482,9.09025724
9.17719300,-3.23592096,3.70982062,8.75038981
9.19724800,-3.07795440,3.42260870,8.10894985
9.21730300,-2.80988994,2.56097295,8.11852358
9.23735700,-2.72851323,1.35468289,9.08068351
9.25741400,-2.66628398,0.77547218,9.57851751
9.27746900,-2.78595562,0.61271876,9.75563152
9.29752400,-2.71893950,0.60314503,8.93707755
9.31758000,-2.66149712,0.10052417,8.87963517
9.33763700,-2.40300639,-0.57921070,9.33438737
9.35769400,-2.06313895,-1.34989602,9.40140349
9.37774900,-2.10143388,-1.62274734,9.17163395
9.39780300,-2.58490727,-1.24937185,9.50671453
9.41786000,-2.38385893,-1.75199271,9.55937004
9.43791400,-1.97218851,-2.37428520,9.08547038
9.45797200,-1.83815628,-2.55618608,8.91314323
9.47802700,-1.87166434,-2.61362846,8.74081607
9.49808100,-2.08707328,-2.79074248,8.84134025
9.51813500,-2.22110551,-3.10667559,9.21471574
9.53818900,-2.36949833,-2.90084038,8.82219278
9.55824800,-2.12536820,-3.42260870,8.93707755
9.57831400,-2.09664701,-4.21244148,9.18599455
9.59836900,-1.82379569,-4.59539071,9.01366740
9.61842400,-1.90038553,-4.60975130,8.75038981
9.63847800,-1.84773001,-4.70548861,8.45360416
9.65853400,-1.70891092,-5.02620859,7.99406508
9.67859000,-1.67061600,-5.40915781,7.67334511
9.69864500,-1.73763211,-5.82082823,8.11852358
9.71873000,-1.72327152,-6.21813805,8.47753848
9.73878500,-1.66104227,-6.19420372,7.70206630
9.75884000,-1.56051809,-6.69682458,7.88875405
9.77889400,-1.51264944,-7.02711829,8.19032656
9.79894900,-1.60359988,-6.73990637,7.63026332
9.81900300,-1.65146854,-6.50534997,7.34783827
9.83905700,-1.77592703,-6.55321862,7.92226210
9.85911500,-1.97218851,-6.40482580,7.92704897
9.87917000,-2.00569657,-6.49098937,7.74993495
9.89922600,-2.21631864,-6.46226818,7.84567226
9.91928100,-2.52267802,-5.85912315,7.43878871
9.93933700,-2.49395683,-5.82082823,7.31433021
9.95939900,-2.33120341,-6.26600670,7.64462392
9.97946300,-2.41736699,-6.29472790,7.58718153
9.99952100,-2.72851323,-6.04102403,7.65898451
10.01957800,-3.01093829,-6.01230284,7.66377138
10.03963400,-2.88647979,-6.40961266,7.52495228
10.05969000,-2.63277593,-6.33302282,6.88829920
10.07974500,-2.54661235,-6.05538463,6.02666344
10.09979900,-2.89126665,-6.11282701,6.37610461
10.11985300,-3.08274127,-6.16069567,7.14678992
10.13990700,-2.92477471,-6.87393860,7.99406508
10.15996100,-2.83861113,-6.46705505,6.55800549
10.18001400,-2.56575981,-7.58718153,6.09846642
10.20007200,-2.85297173,-7.50101796,6.39525207
10.22012700,-3.49919855,-7.27603529,6.77820129
