"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.59616300,10.61250019,68.18125153,67.30625153
6.61621700,9.46249962,68.30000305,67.31874847
6.63627100,7.70625019,68.09375000,67.98750305
6.65632400,6.01875019,67.66249847,67.84375000
6.67637900,6.01875019,67.66249847,67.84375000
6.69643300,1.58124995,66.96250153,67.15000153
6.71648700,0.60000002,66.92500305,66.65625000
6.73654100,-0.45625001,66.63749695,66.54374695
6.75659500,-1.60625005,66.84375000,65.95625305
6.77664900,-2.74375010,66.86875153,65.59375000
6.79670300,-3.76250005,66.66249847,64.97499847
6.81675800,-4.91874981,66.78749847,64.52500153
6.83681200,-5.88124990,67.10624695,64.25624847
6.85687300,-6.46875000,67.08125305,64.00624847
6.87694200,-7.36250019,67.04374695,63.38124847
6.89699700,-7.73750019,67.07499695,62.92499924
6.91705100,-8.30624962,67.16874695,63.03125000
6.93710500,-8.68124962,67.25000000,62.81250000
6.95715900,-9.28125000,67.27500153,62.76250076
6.97721400,-9.68750000,67.59375000,62.55625153
6.99726900,-9.71875000,67.63749695,62.41249847
7.01732600,-10.06875038,67.80625153,62.10625076
7.03738400,-10.13749981,67.98124695,61.69374847
7.05743800,-10.26249981,68.19999695,61.78749847
7.07749200,-10.21875000,68.43125153,61.28125000
7.09754700,-10.12500000,68.51249695,61.32500076
7.11761400,-10.03750038,68.83750153,61.81874847
7.13766900,-9.61250019,68.80000305,61.53749847
7.15772600,-9.45625019,68.90625000,61.28125000
7.17778100,-9.33125019,69.00000000,61.35625076
7.19783600,-9.88125038,68.73750305,61.29375076
7.21789000,-9.32499981,68.91874695,61.73125076
7.23794400,-9.30000019,69.26875305,61.53125000
7.25800000,-8.68124962,69.26875305,61.09999847
7.27805400,-8.58749962,69.09999847,61.78749847
7.29811300,-8.16874981,68.80625153,61.33124924
7.31816700,-7.99375010,68.81874847,61.51250076
7.34118000,-7.25624990,69.81250000,62.16875076
7.36518000,-6.35624981,69.86875153,62.58750153
7.38523400,-5.16249990,69.92500305,62.89374924
7.40528800,-4.26875019,70.07499695,62.86249924
7.42534200,-4.07499981,69.96250153,63.37500000
7.44539600,-3.89374995,70.18750000,63.51874924
7.46545100,-4.15000010,69.96250153,63.00624847
7.48551400,-3.29375005,69.90625000,63.44374847
7.50558200,-2.63124990,69.94999695,64.09999847
7.52563900,-2.23749995,69.50000000,64.28125000
7.54569300,-2.35625005,69.95625305,63.94374847
7.56574800,-1.93124998,69.47499847,63.88124847
7.58582000,-1.73125005,69.35624695,64.21875000
7.60587500,-0.63125002,69.40625000,64.71875000
7.62592900,0.60000002,69.06250000,65.06874847
7.64598400,1.58749998,68.81874847,65.64375305
7.66604100,3.03125000,68.60624695,65.67500305
7.68609600,4.18125010,68.45625305,66.00624847
7.70615100,5.83750010,68.08125305,66.43125153
7.72620500,7.44374990,67.12500000,66.78749847
7.74626100,9.05624962,67.25000000,66.67500305
7.76631500,10.21875000,66.61875153,66.81250000
7.78636900,10.86250019,65.69374847,66.68125153
7.80642300,12.38749981,65.24375153,66.68125153
7.82647800,13.59375000,65.12500000,67.26875305
7.84653200,15.69999981,64.84999847,67.56250000
7.86658900,17.77499962,64.00000000,67.68125153
7.88665200,19.74374962,63.43125153,67.20625305
7.90670700,23.82500076,62.75000000,66.27500153
7.92677100,25.85000038,62.13124847,65.67500305
7.94682600,27.85625076,61.41875076,65.23124695
7.96688100,29.38750076,60.56250000,64.90625000
7.98693500,30.63750076,60.48125076,63.59375000
8.00699200,32.22499847,60.34375000,63.00000000
8.02704900,33.26250076,60.17499924,62.48125076
8.05402500,35.15000153,59.58124924,61.59999847
8.07408100,36.82500076,58.82500076,60.79999924
8.09413800,38.81874847,58.40000153,59.03125000
8.11419200,40.43125153,58.53749847,58.12500000
8.13424800,41.93750000,58.29999924,57.03749847
8.15430400,43.29375076,58.29999924,55.66249847
8.17436100,44.50624847,58.25624847,54.38750076
8.19441600,45.73749924,58.46250153,53.38750076
8.21447800,47.00000000,58.50000000,51.06250000
8.23454200,48.22499847,58.01874924,50.01250076
8.25460900,49.36249924,58.13750076,48.90000153
8.27467400,50.23749924,58.16875076,47.36875153
8.29473100,51.14374924,58.59999847,46.10625076
8.31478600,52.17499924,58.92499924,44.73749924
8.33484300,53.23125076,58.99375153,43.60625076
8.35489800,53.52500153,58.92499924,42.59375000
8.37495100,53.52500153,58.92499924,42.59375000
8.39500500,55.21250153,59.62500000,38.98125076
8.41505800,55.56250000,59.78125000,37.43750000
8.43511100,56.08124924,60.31250000,36.66875076
8.45516800,56.59375000,60.71250153,36.09375000
8.47522200,57.09375000,61.15000153,34.98749924
8.49527600,56.85625076,61.25000000,33.98125076
8.51534000,57.27500153,61.68750000,33.59999847
8.53539500,57.12500000,61.99375153,32.75000000
8.55545800,57.42499924,62.54999924,31.91250038
8.57551300,57.24375153,62.58124924,31.64374924
8.59556700,57.48125076,63.34375000,31.36249924
8.61562600,57.29375076,63.61875153,30.88125038
8.63568200,57.36875153,63.96875000,30.79999924
8.65573900,57.09375000,64.43750000,31.18750000
8.67579700,57.36249924,64.83125305,31.20000076
8.69585300,57.15000153,65.41249847,31.40625000
8.71590700,57.12500000,65.07499695,31.48749924
8.73596200,56.79999924,66.08125305,31.72500038
8.75601600,56.77500153,66.22499847,31.91250038
8.77607000,56.53749847,66.38749695,31.61874962
8.79612400,56.47499847,66.73124695,31.61249924
8.81617800,56.31874847,66.98750305,32.55625153
8.83623200,56.31250000,67.16249847,33.31874847
8.85628800,55.96250153,67.43750000,33.48125076
8.87634200,55.90625000,67.68125153,33.67499924
8.89639600,55.54375076,67.59999847,34.50624847
8.91645000,55.16249847,68.09999847,35.41249847
8.93651100,54.67499924,68.26249695,36.23749924
8.95657500,54.18750000,68.84999847,38.00624847
8.97663000,53.73125076,68.86250305,39.17499924
8.99668400,52.84999847,68.63124847,40.15625000
9.01674300,52.45000076,69.12500000,41.17499924
9.03679700,51.34375000,69.75624847,43.47499847
9.05685300,50.48749924,69.91874695,44.89374924
9.07690800,49.78125000,69.92500305,46.43750000
9.09696300,48.81874847,70.51875305,47.83124924
9.11701600,46.09375000,70.46875000,51.29999924
9.13707000,44.73125076,70.44999695,52.54375076
9.15713800,43.50624847,70.45625305,53.88750076
9.17719300,42.58750153,70.43125153,54.81250000
9.19724800,40.71875000,70.46250153,56.39374924
9.21730300,38.91875076,70.61250305,57.74375153
9.23735700,36.60625076,70.51249695,59.65625000
9.25741400,34.54999924,70.82499695,61.12500000
9.27746900,33.00000000,70.10624695,61.71250153
9.29752400,31.15625000,70.30000305,62.50000000
9.31758000,29.83124924,70.00624847,63.13124847
9.33763700,28.28750038,70.13124847,64.17500305
9.35769400,26.61249924,69.83750153,64.09999847
9.37774900,25.14999962,69.98750305,65.26875305
9.39780300,23.56250000,69.71250153,65.53125000
9.41786000,21.79375076,69.77500153,65.98124695
9.43791400,20.73125076,69.64375305,66.61250305
9.45797200,19.33124924,69.61875153,66.53125000
9.47802700,18.04375076,69.74375153,66.75000000
9.49808100,16.14999962,69.33750153,66.49375153
9.51813500,14.51875019,69.48750305,67.15000153
9.53818900,13.06250000,68.95625305,67.29374695
9.55824800,11.21249962,68.50624847,67.27500153
9.57831400,9.54374981,68.71250153,67.51249695
9.59836900,8.71875000,68.58125305,67.50624847
9.61842400,7.30625010,67.95625305,67.66874695
